index,full_name,short_name,description,output_type,parameters
1,ee.Algorithms.CannyEdgeDetector,ee.Algorithms.CannyEdgeDetector,"Applies the Canny edge detection algorithm to an image. The output is an image whose bands have the same names as the input bands, and in which non-zero values indicate edges, and the magnitude of the value is the gradient magnitude.",Image,"[{'name': 'image', 'type': 'Image', 'details': 'The image on which to apply edge detection.'}, {'name': 'threshold', 'type': 'Float', 'details': 'Threshold value. The pixel is only considered for edge detection if the gradient magnitude is higher than this threshold.'}, {'name': 'sigma', 'type': 'Float, default: 1', 'details': 'Sigma value for a gaussian filter applied before edge detection. 0 means apply no filtering.'}]"
2,ee.Algorithms.Collection,ee.Algorithms.Collection,Returns a Collection containing the specified features.,FeatureCollection,"[{'name': 'features', 'type': 'List', 'details': 'The features comprising the collection.'}]"
3,ee.Algorithms.CrossCorrelation,ee.Algorithms.CrossCorrelation,"Gives information on the quality of image registration between two (theoretically) co-registered images. The input is two images with the same number of bands. This function outputs an image composed of four bands of information. The first three are distances: the deltaX, deltaY, and the Euclidean distance for each pixel in imageA to the pixel which has the highest corresponding correlation coefficient in imageB. The fourth band is the value of the correlation coefficient for that pixel [-1 : +1].",Image,"[{'name': 'imageA', 'type': 'Image', 'details': 'First image, with N bands.'}, {'name': 'imageB', 'type': 'Image', 'details': 'Second image, must have the same number of bands as imageA.'}, {'name': 'maxGap', 'type': 'Integer', 'details': 'The greatest distance a pixel may shift in either X or Y.'}, {'name': 'windowSize', 'type': 'Integer', 'details': 'Size of the window to be compared.'}, {'name': 'maxMaskedFrac', 'type': 'Float, default: 0', 'details': 'The maximum fraction of pixels within the correlation window that are allowed to be masked. This test is applied at each offset location within the search region. For each offset, the overlapping image patches are compared and a correlation score computed. A pixel within these overlapping patches is considered masked if either of the patches is masked there. If the test fails at any single location in the search region, the output pixel for which the correlation is being computed is considered invalid, and will be masked.'}]"
4,ee.Algorithms.Date,ee.Algorithms.Date,Creates a Date.,Date,"[{'name': 'value', 'type': 'Object', 'details': ""A number (interpreted as milliseconds since 1970-01-01T00:00:00Z), or string such as '1996-01-01' or '1996-001' or '1996-01-01T08:00'.""}, {'name': 'timeZone', 'type': 'String, default: null', 'details': ""The time zone (e.g. 'America/Los_Angeles'); defaults to UTC.""}]"
5,ee.Algorithms.Describe,ee.Algorithms.Describe,Describes an object using a simple JSON-compatible structure.,Object,"[{'name': 'input', 'type': 'Object', 'details': 'The object to describe.'}]"
6,ee.Algorithms.Dictionary,ee.Algorithms.Dictionary,Constructs a dictionary.,Dictionary,"[{'name': 'input', 'type': 'Object, default: null', 'details': 'An object to convert to a dictionary.  Either a JSON dictionary or a list of alternating key/value pairs.  Keys must be strings.'}]"
7,ee.Algorithms.FMask.fillMinima,ee.Algorithms.FMask.fillMinima,Fills local minima.  Only works on INT types.,Image,"[{'name': 'image', 'type': 'Image', 'details': 'The image to fill.'}, {'name': 'borderValue', 'type': 'Long, default: null', 'details': 'The border value.'}, {'name': 'neighborhood', 'type': 'Integer, default: 50', 'details': 'The size of the neighborhood to compute over.'}]"
8,ee.Algorithms.FMask.matchClouds,ee.Algorithms.FMask.matchClouds,"Runs the FMask cloud and shadow matching.  Outputs a single band ('csm'), containing the computed cloud and shadow masks.",Image,"[{'name': 'input', 'type': 'Image', 'details': 'The scene for which to compute cloud and shadow masks.'}, {'name': 'cloud', 'type': 'Image', 'details': 'Potential cloud mask image. Expected to contain 1s for cloudy pixels and masked pixels everywhere else.'}, {'name': 'shadow', 'type': 'Image', 'details': 'Potential shadow mask image. Expected to contain 1s for shadow pixels and masked pixels everywhere else.'}, {'name': 'btemp', 'type': 'Image', 'details': 'Brightness temperature image, in Celsius.'}, {'name': 'sceneLow', 'type': 'Float', 'details': 'The 0.175 percentile brightness temperature of the scene.'}, {'name': 'sceneHigh', 'type': 'Float', 'details': 'The 0.825 percentile brightness temperature of the scene.'}, {'name': 'neighborhood', 'type': 'Integer, default: 50', 'details': 'The neighborhood to pad around each tile.'}]"
9,ee.Algorithms.Feature,ee.Algorithms.Feature,Returns a Feature composed of the given geometry and metadata.,Feature,"[{'name': 'geometry', 'type': 'Geometry, default: null', 'details': 'The geometry of the feature.'}, {'name': 'metadata', 'type': 'Dictionary, default: {}', 'details': 'The properties of the feature.'}, {'name': 'geometryKey', 'type': 'String, default: null', 'details': 'Obsolete; has no effect.'}]"
10,ee.Algorithms.GeometryConstructors.BBox,ee.Algorithms.GeometryConstructors.BBox,Constructs a rectangle whose edges are lines of latitude and longitude.,Geometry,"[{'name': 'west', 'type': 'Float', 'details': 'The westernmost enclosed longitude. Will be adjusted to lie in the range -180 to 180.'}, {'name': 'south', 'type': 'Float', 'details': 'The southernmost enclosed latitude. If less than -90 (south pole), will be treated as -90.'}, {'name': 'east', 'type': 'Float', 'details': 'The easternmost enclosed longitude.'}, {'name': 'north', 'type': 'Float', 'details': 'The northernmost enclosed latitude. If greater than +90 (north pole), will be treated as +90.'}]"
11,ee.Algorithms.GeometryConstructors.LineString,ee.Algorithms.GeometryConstructors.LineString,Constructs a LineString from the given coordinates.,Geometry,"[{'name': 'coordinates', 'type': 'List', 'details': 'The list of Points or pairs of Numbers in x,y order.'}, {'name': 'crs', 'type': 'Projection, default: null', 'details': 'The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.'}, {'name': 'geodesic', 'type': 'Boolean, default: null', 'details': 'If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.'}]"
12,ee.Algorithms.GeometryConstructors.LinearRing,ee.Algorithms.GeometryConstructors.LinearRing,"Constructs a LinearRing from the given coordinates, automatically adding the first point at the end if the ring is not explicitly closed.",Geometry,"[{'name': 'coordinates', 'type': 'List', 'details': 'The list of Points or pairs of Numbers in x,y order.'}, {'name': 'crs', 'type': 'Projection, default: null', 'details': 'The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.'}, {'name': 'geodesic', 'type': 'Boolean, default: null', 'details': 'If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.'}]"
13,ee.Algorithms.GeometryConstructors.MultiGeometry,ee.Algorithms.GeometryConstructors.MultiGeometry,Constructs a MultiGeometry from the given list of geometry elements.,Geometry,"[{'name': 'geometries', 'type': 'List', 'details': 'The list of geometries for the MultiGeometry.'}, {'name': 'crs', 'type': 'Projection, default: null', 'details': 'The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.'}, {'name': 'geodesic', 'type': 'Boolean, default: null', 'details': 'If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.'}]"
