id,name,content,summarization,scope,task_nlp,Matched Corpus Names,theme,categories
9538,script_173058,"该脚本主要针对印度北方邦（Uttar Pradesh）的小麦和稻田分布进行了空间分析和可视化，包括以下主要内容：

1. 使用全球农业用地数据集（GFSAD）选择了代表稻田和小麦雨养作物的'landcover'波段像素值为1。
2. 利用全球行政单元图层（GAUL）数据集获取了北方邦的边界。
3. 在代表农田区域的像素中生成了100个点，并为每个点设置了唯一的ID属性。
4. 通过遥感数据集（Sentinel-2）进行了云和阴影遮蔽，并计算了归一化植被指数（NDVI）。
5. 最后，通过图表展示了单个位置的NDVI随时间的变化趋势。

这个脚本主要用于分析北方邦的农田分布和植被指数随时间的变化情况。",使用GFSAD数据和Sentinel-2影像，对印度北方邦的土地覆盖进行监测。通过GAUL数据划分区域，利用NDVI指数分析植被覆盖变化。结果显示不同作物类型的空间分布和季节变化。,"(1) 时间范围：无
(2) 地理范围：印度北方邦（Uttar Pradesh）
(3) 主题任务：农田分布和植被指数随时间的变化情况",农田分布；植被指数变化,农作物种植区域变化分析,4,农田/农作物空间分布分析
9542,script_175092,"该脚本主要是对棕榈适宜性模型的样本数据进行处理和导出，包括以下主要内容：

1. 导入了棕榈适宜性模型的样本验证数据和样本训练数据。
2. 对验证数据和训练数据进行了合并和展开操作。
3. 输出了合并后的训练数据到GEE资产中。

该脚本的主要任务是处理和管理棕榈适宜性模型的样本数据，为后续的模型训练和验证提供数据准备工作。",这段文本主要讨论了在GEE平台上利用遥感数据进行农作物种植面积监测的方法。通过验证数据的准确性和提供标准化的监测模型，实现了对不同作物类型的种植面积的精确监测和验证。,"(1) 时间范围：无
(2) 地理范围：无
(3) 主题任务：棕榈适宜性模型数据处理管理",农作物影像预处理,遥感影像预处理,4,遥感影像预处理
9543,script_175098,"该脚本主要针对泰国油棕种植区的遥感监测和空间分析，包括以下主要内容：

1. 导入了泰国油棕种植区的地理数据和样本点。
2. 通过covering grid生成覆盖网格，并在地图上展示。
3. 使用Sentinel-2和Sentinel-1数据进行遥感影像处理，提取了多个植被指数和雷达指数。
4. 进行了油棕植被分类和水体、城市地物提取。
5. 对遥感影像进行分割和连接组件分析，并导出样本点数据。

该脚本主要用于泰国油棕种植区的遥感监测和空间分析，涉及遥感数据处理、植被分类、地物提取和空间分析。",该文段讨论了利用Sentinel-2和Sentinel-1数据进行土地利用覆盖分类和湿地监测。通过覆盖网格和多频率雷达数据，实现了湿地和不同作物类型的识别和监测。,"(1) 时间范围：无
(2) 地理范围：泰国油棕种植区
(3) 主题任务：遥感监测和空间分析",油棕提取,农作物提取与分类,4,农作物提取与分类
9544,script_175157,"该脚本主要包括以下内容：

1. 导入了中美洲地区的地理数据和样本数据。
2. 生成了覆盖网格，用于对每个网格单元进行棕榈树预测。
3. 使用随机森林模型对Sentinel-2和Sentinel-1数据进行处理和特征提取。
4. 对每个网格单元进行Sentinel-2和Sentinel-1数据的预测和棕榈树分类。
5. 将分类结果导出为图像，并存储到指定的资产路径中。

该脚本主要针对中美洲地区的棕榈树预测和分类任务，涉及遥感数据处理、特征提取、模型训练和分类结果导出等内容。",该文段描述了利用Sentinel-2和Sentinel-1卫星数据进行农作物预测的方法。通过遥感数据获取农田信息，包括作物类型和生长情况，为农业生产提供支持。,"(1) 时间范围：无
(2) 地理范围：中美洲地区
(3) 主题任务：棕榈树预测和分类任务",棕榈树分类,农作物提取与分类,4,农作物提取与分类
9545,script_175162,"该脚本主要针对中美洲地区的棕榈树遮罩预测进行了空间分析和精度评估，包括以下主要内容：

1. 导入了中美洲地区的地理数据，并使用该地区的矢量数据进行空间分析。
2. 使用全球棕榈树遮罩数据集进行棕榈树遮罩预测，并对预测结果进行重分类和重命名。
3. 对训练数据进行精度评估，包括对样本点进行空间过滤和空间连接，计算了混淆矩阵和棕榈树预测的准确性指标。
4. 计算了F1分数，用于评估棕榈树预测的精度和召回率的综合表现。

这个脚本主要关注中美洲地区的棕榈树遮罩预测和精度评估，以及相关的空间分析任务和主题。",该文段描述了利用遥感数据进行土地利用分类和预测的研究。通过分析遥感数据，实现了对不同地区的土地利用类型进行精准分类和预测，为农业生产和自然资源管理提供了重要支持。研究成果可应用于农作物种植、土地规划等领域。,"(1) 时间范围：无
(2) 地理范围：中美洲地区
(3) 主题任务：棕榈树遮罩预测和精度评估",棕榈树遮罩预测,农作物遮罩分析,4,农作物遮罩分析
9546,script_175166,"该脚本主要针对非洲地区的棕榈树适宜性进行了分析和数据导出，包括以下主要内容：

1. 导入了非洲地区的棕榈树地理数据和样本点数据。
2. 生成了覆盖网格，并筛选出与样本点相交的网格。
3. 使用Sentinel-2和Sentinel-1数据进行遥感指数计算和影像合成。
4. 进行了棕榈树、水体和城市地物分类，并生成了分类图层。
5. 进行了图像分割和连接组件分析，导出了样本点周围的采样数据。

该脚本主要用于分析非洲地区棕榈树适宜性，并导出相关的遥感数据样本。",该文段讨论了利用Sentinel-2和Sentinel-1数据进行土地利用分类的技术。通过对水稻、玉米等作物的遥感影像分析，实现了对农田的分类和监测。这项技术在农业生产管理和资源保护方面具有重要意义。,"(1) 时间范围：无
(2) 地理范围：非洲地区
(3) 主题任务：棕榈树适宜性分析",棕榈树适宜性分析,农作物遮罩分析,4,农业土地适宜性分析
9547,script_175177,"该脚本主要针对非洲地区的棕榈树遥感分类进行了分析和可视化，包括以下主要内容：

1. 导入了非洲地区的地理数据和棕榈树分类遥感数据。
2. 对棕榈树分类遥感数据进行了预测，并生成了棕榈树分类图层。
3. 通过遥感分类结果，移除了农田区域中的棕榈树像元。
4. 移除了湿地区域中的棕榈树像元，生成了最终的棕榈树分类图层。
5. 通过循环生成了非洲地区的棕榈树分类图层的覆盖网格，并将结果导出为栅格图像数据。

这个脚本主要用于棕榈树遥感分类和数据处理，以及生成最终的分类图层。",该文段描述了通过地球物理勘探技术，在某地区进行了地下矿产资源勘探。利用地震勘探数据，分析了地下构造，发现了矿产资源的分布情况。通过地震反射剖面和地震速度分析，揭示了矿产资源的分布规律。,"(1) 时间范围：无
(2) 地理范围：非洲地区
(3) 主题任务：棕榈树遥感分类和数据处理",棕榈树分类,农作物提取与分类,4,农作物提取与分类
9549,script_175211,"该脚本主要针对阿根廷科尔多瓦地区的植被覆盖和农业活动进行了分析和可视化，包括以下主要内容：

1. 导入了科尔多瓦地区的地理数据和相关的卫星影像数据。
2. 使用哨兵卫星图像进行了不同日期的植被指数（NDVI）和水体指数（NDWI）的计算和可视化。
3. 分析了不同日期的植被指数和水体指数，以了解植被生长和水体分布的变化情况。
4. 对不同日期的卫星图像进行了裁剪和可视化，展示了科尔多瓦地区的植被和水体分布情况。

这些分析有助于了解科尔多瓦地区的植被覆盖和农业活动对地表特征的影响。",该文段描述了利用遥感数据进行农作物生长监测的技术。通过分析NDVI和NDWI指数，研究者在不同地区对作物生长情况进行了监测和分析，发现这些技术对农业生产和环境保护有重要影响。,"(1) 时间范围：不同日期的植被指数和水体指数的计算
(2) 地理范围：科尔多瓦地区
(3) 主题任务：植被覆盖和农业活动分析",植被覆盖分析,农作物遮罩分析,4,农作物植被指数计算
9551,script_175840,"该脚本主要针对使用Google Earth Engine进行洪水监测和评估，包括以下主要内容：

1. 导入了Sentinel-1雷达影像数据集和地理范围。
2. 通过预定义参数过滤和选择了Sentinel-1 GRD数据集。
3. 选择了洪水前后的日期范围，并打印了选定的影像信息。
4. 计算了洪水影响范围，包括对洪水区域进行了连接性和坡度的处理。
5. 估算了洪水影响的人口数量、农田和城市区域，并在地图上展示了相关的可视化结果。
6. 生成了结果面板，展示了洪水状态、估算的洪水范围、受影响的人口数量以及受影响的农田和城市区域面积。
7. 添加了地图上的图例，用以说明洪水区域、受影响的农田和城市区域，以及暴露的人口密度。",使用Google Earth Engine分析Sentinel-1雷达影像，研究水稻种植区域。选择合适的影像，提取水稻种植区域信息，分析水稻生长状况和受灾情况，生成统计图表和地图展示水稻种植区域和生长情况。,"(1) 时间范围：洪水前后的日期范围
(2) 地理范围：无具体地理范围信息
(3) 主题任务：洪水监测和评估",洪水监测和评估,洪涝受损情况分析,4,洪涝受损情况分析
9552,script_176345,"该脚本主要针对河南省的稻谷和花生种植区进行分类，包括以下主要内容：

1. 导入了河南省的行政区划数据，并对其进行可视化展示。
2. 使用Sentinel-2数据获取了红、近红外、短波红外等波段的影像数据。
3. 对影像数据进行了植被指数（NDVI、NDWI、EVI、GCVI、LSWI）的计算和添加。
4. 对不同农作物（花生、水稻、玉米等）的样本数据进行了处理和分类。
5. 通过随机森林算法对样本数据进行训练，并在河南省范围内进行分类预测和结果导出。

该脚本主要用于河南省农作物种植区的分类和监测，以及对Sentinel-2影像数据的处理和分析。",该文介绍了利用Sentinel-2卫星数据在中国湖北省进行植被覆盖和水体监测。通过NDVI、NDWI、EVI等指数分析植被和水体状况，预测农作物生长情况。利用遥感数据和算法实现了湖北省植被和水体的监测和预测。,"(1) 时间范围：无
(2) 地理范围：河南省
(3) 主题任务：农作物种植区的分类和监测",农作物分类（花生、水稻、玉米）,农作物灌溉区域分析,4,农作物提取与分类
