Script Name,Operator Chain
script_100152,{ee.Image||ee.Image||ee.Image||ee.Image||ee.Image}->ee.ImageCollection->ee.ImageCollection->ee.ImageCollection->ee.ImageCollection->ee.FeatureCollection->ee.FeatureCollection->ee.FeatureCollection->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->ee.Image->ee.Image->ee.Image->i_dom_2014.add.add->i_tot.gt->ee.Image.rgb->i_rgb.mask->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->GAUL2->Map.style.set->getSelectedCountries->makeResultsBarChart->makeResultsTable->updateOverlay->updateChart->clearResults->handleMapClick->Map.onClick->ToggleButton->ToggleButton->ui.Panel->ui.Panel->Map.add->clearResults
script_100214,{ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.Image}->require->Map.addLayer->require->ltgee.runLT->ee.ImageCollection->imageCollection.mosaic.select->imgUse.expression->bugnet.dNBR.select.mask->Map.addLayer
script_100223,{ee.FeatureCollection||ee.Image||ee.FeatureCollection||ee.Image.select||ee.ImageCollection||ee.FeatureCollection||ee.Image}->roads.filterBounds->filterRoadsToAOI.map->roadProcessed.reduceToImage->ee.Image.cumulativeCost.lt.unmask.not->Map.addLayer->ee.Image.cumulativeCost.lt->waterBuffer.clip->vegtypeCollection.first->vegtypeimage.expression.clip->Map.addLayer->fire.filterMetadata->fires2017up.map->firesProcessed.reduceToImage.clip->Map.addLayer->Map.addLayer->RegionsOfDecline.unmask.add->Map.addLayer->sumOfMaskRasters.expression.subtract->Map.addLayer->next.expression.selfMask->Map.addLayer
script_100226,usStates.filterMetadata->usStates.filterMetadata->ee.Feature.bounds.geometry->Map.addLayer->require->{ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection}->ltgee.runLT->ltgee.runLT->ltgee.runLT->ltgee.getChangeMap->ltgee.getChangeMap->ltgee.getChangeMap->ee.ImageCollection.mosaic->ltYODcolleciton.select.multiply.add.toByte.clip->Export.image.toDrive
script_100247,Map.addLayer->{ee.FeatureCollection||ee.Image||ee.FeatureCollection||ee.Image.select||ee.ImageCollection||ee.FeatureCollection||ee.Image}->Map.addLayer->roads.filterBounds->filterRoadsToAOI.map->roadProcessed.reduceToImage->ee.Image.cumulativeCost.lt.unmask.not->Map.addLayer->ee.Image.cumulativeCost.lt->waterBuffer.clip->vegtypeCollection.first->vegtypeimage.expression.clip->Map.addLayer->fire.filterMetadata->fires2017up.map->firesProcessed.reduceToImage.clip->Map.addLayer->Map.addLayer->RegionsOfDecline.unmask.add->Map.addLayer->sumOfMaskRasters.expression.subtract->Map.addLayer->next.expression.selfMask->Map.addLayer->Export.image.toDrive
script_100999,{ee.Image||ee.Image}->ee.ImageCollection.toBands.rename.updateMask->all->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->print->ui.Panel->ui.Label->legend.add->ee.Image.pixelLonLat.select->lon.multiply.add->gradient.visualize->ui.Panel->legend.add->ui.Thumbnail->legend.add->ui.Panel->legend.add->Map.add->Map.setOptions
script_101049,{ee.ImageCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection}->imageCollection.filterDate.filterBounds->print->collection.map.median.clip->Map.addLayer->table2.merge.merge.merge->print->composite.select.rename->composite.select.rename->composite.select.rename->composite.select.rename->composite.select.rename->NIR.subtract.divide.rename->green.subtract.divide.rename->NIR.subtract.divide.rename->ee.Image.select->calculateTasseledCap->composite.select->composite.select->composite.select->composite.select->composite.select->composite.select->ndvi.addBands.addBands.addBands.addBands.addBands.addBands.addBands.addBands.addBands.addBands.addBands->ee.FeatureCollection->predictors.sampleRegions->ee.Classifier.randomForest.train->classifier.train->predictors.classify->Map.addLayer->Map.addLayer->training.randomColumn->withRandom.filter->print->withRandom.filter->print->ee.Classifier.randomForest.train->testingPartition.classify->test.errorMatrix->print->print->classifier.confusionMatrix->print->print
script_101113,Map.centerObject->Map.addLayer->table.merge->Map.addLayer->ee.ImageCollection.filterBounds.filterDate.filter.median.divide.clip->Map.addLayer->first.select->first.normalizedDifference->first.expression->first.normalizedDifference->first.normalizedDifference->first.normalizedDifference->first.normalizedDifference->first.normalizedDifference->first.normalizedDifference->first.normalizedDifference->first.normalizedDifference->first.normalizedDifference->first.normalizedDifference->first.normalizedDifference->{ee.FeatureCollection||ee.ImageCollection}->ee.ImageCollection.filter.filterDate.filterBounds.median->sentImages.clip->ROI->sentImage.select->image.bandNames->image.reduceRegion->ee.Image.constant->image.subtract->getPrincipalComponents->pcImage.select->pcImage_output.toUint16->input.glcmTexture->glcm.select->glcm.select->glcm.select->glcm.select->glcm.select->glcm.select->glcm.select->glcm.select->glcm.select->glcm.select->glcm.select->glcm.select->glcm.select->glcm.select->glcm.select->glcm.select->glcm.select->ee.Algorithms.Terrain->dem.select->dem.select->dem.select->dem.select->ndvi.addBands.addBands.addBands.addBands.addBands.addBands.addBands.addBands.addBands.addBands.addBands.addBands->tex0.addBands.addBands.addBands.addBands.addBands->tex5.addBands.addBands.addBands.addBands.addBands.addBands.addBands.addBands.addBands.addBands.addBands->elevation.addBands.addBands.addBands->data3->ee.List->print->img_bands.map->rmL8Cloud->indexComputation->JM_distance->Export.table.toDrive
script_1011,{ee.Geometry.Polygon||ee.ImageCollection}->showBounds->exportImageToDrive->Map.onClick->searchLandsatImages->showLandsatImage->exportNDVIResult->showNDVIThumbnail->initUI->main->main
script_101255,ee.List->{ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection}->ee.Filter.inList->lev0.filter->lev1.filter->lev2.filter->lev3.filter->ee.Feature->stdNames->stdNamesMulti->addGADMid->require->require->require->require->require->require->require->style.SetMapStyleDark->Map.centerObject->change_to_perc->ee.Image.multiply.toInt->ee.Image->Map.centerObject->Map.addLayer->Map.addLayer->ee.Image.byte->ee.FeatureCollection->area_coll.map->area_coll.filter->empty.paint->Map.addLayer->empty.paint->Map.addLayer->empty.paint->Map.addLayer->empty.paint->Map.addLayer->area_coll.filter->kenya_lev2.map->empty.paint->Map.addLayer->empty.paint->Map.addLayer->empty.paint->Map.addLayer->empty.paint->Map.addLayer->area_coll.filter->kenya_lev1.map->empty.paint->Map.addLayer->empty.paint->Map.addLayer->empty.paint->Map.addLayer->empty.paint->Map.addLayer->print->area_coll.filter->areas_lev3.aggregate_sum->areas_lev3.aggregate_sum->kenya.area.divide->ee.Number.divide->ee.Number.divide->print->print->print->print->Export.image.toDrive
